Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Satisfaction Score,Total Delay Time
1,1,0.577,1,1,0.026,50,44.0,1,0.807,94.0
1,1,0.372,1,0,0.572,0,0.0,1,0.661,0.0
0,0,0.167,1,1,0.033,0,0.0,0,0.396,0.0
0,1,0.474,1,0,0.676,0,6.0,1,0.321,6.0
1,1,0.538,1,1,0.232,0,20.0,1,0.496,20.0
0,1,0.115,1,1,0.057,0,0.0,1,0.614,0.0
1,1,0.897,1,0,0.799,0,0.0,1,0.925,0.0
1,1,0.462,1,0,0.51,77,65.0,1,0.686,142.0
0,1,0.513,1,1,0.106,1,0.0,1,0.711,1.0
1,1,0.5,1,0,0.346,28,14.0,1,0.668,42.0
1,1,0.513,1,1,0.243,29,19.0,1,0.521,48.0
1,1,0.333,1,0,0.059,18,7.0,0,0.579,25.0
1,1,0.5,1,0,0.197,0,0.0,1,0.957,0.0
1,1,0.679,1,0,0.085,117,113.0,1,0.746,230.0
1,1,0.577,1,0,0.181,10,0.0,1,0.689,10.0
0,1,0.551,0,1,0.011,5,2.0,0,0.504,7.0
1,1,0.308,1,1,0.141,2,0.0,0,0.607,2.0
0,1,0.577,0,2,0.211,0,0.0,1,0.843,0.0
1,1,0.462,0,1,0.383,0,0.0,0,0.754,0.0
1,1,0.551,1,0,0.761,8,0.0,1,0.907,8.0
0,1,0.679,1,0,0.117,21,49.0,1,0.882,70.0
0,1,0.462,0,1,0.284,0,0.0,0,0.607,0.0
0,1,0.615,0,1,0.055,0,0.0,0,0.589,0.0
0,1,0.231,1,0,0.282,0,0.0,1,0.7,0.0
1,0,0.295,1,1,0.1,0,0.0,0,0.6,0.0
0,1,0.705,0,1,0.137,0,0.0,0,0.654,0.0
0,1,0.218,1,0,0.737,0,0.0,1,0.657,0.0
1,1,0.192,1,1,0.301,3,13.0,1,0.511,16.0
0,1,0.474,1,0,0.305,0,0.0,1,0.893,0.0
0,1,0.564,1,1,0.041,0,0.0,0,0.661,0.0
0,1,0.462,0,0,0.243,0,0.0,0,0.521,0.0
1,1,0.628,1,1,0.056,0,0.0,1,0.5,0.0
0,0,0.436,1,1,0.12,0,0.0,0,0.661,0.0
0,1,0.192,0,1,0.367,40,68.0,0,0.875,108.0
1,1,0.59,1,1,0.033,0,1.0,1,0.696,1.0
0,1,0.064,0,1,0.13,80,70.0,0,0.496,150.0
1,1,0.41,1,0,0.068,10,12.0,1,0.729,22.0
1,1,0.615,1,0,0.634,73,68.0,1,0.675,141.0
1,0,0.321,1,0,0.156,0,10.0,0,0.632,10.0
1,1,0.423,0,1,0.121,4,0.0,0,0.693,4.0
1,0,0.449,1,0,0.069,0,0.0,0,0.754,0.0
0,0,0.218,1,1,0.14,0,4.0,1,0.543,4.0
0,1,0.192,1,0,0.05,116,177.0,0,0.571,293.0
1,1,0.269,1,0,0.201,0,3.0,1,0.639,3.0
1,1,0.372,1,2,0.048,59,55.0,0,0.457,114.0
1,1,0.705,1,1,0.105,92,90.0,1,0.643,182.0
1,1,0.679,1,0,0.375,0,0.0,1,0.757,0.0
1,1,0.667,0,1,0.087,4,2.0,0,0.664,6.0
1,1,0.538,1,0,0.659,0,4.0,1,0.836,4.0
1,1,0.474,0,1,0.237,0,0.0,0,0.6,0.0
1,1,0.654,0,2,0.194,0,0.0,0,0.536,0.0
0,0,0.218,1,0,0.083,20,32.0,1,0.586,52.0
1,1,0.59,1,1,0.099,17,0.0,1,0.632,17.0
0,1,0.628,1,1,0.059,0,0.0,0,0.511,0.0
1,1,0.295,1,0,0.125,0,0.0,1,0.825,0.0
0,0,0.256,1,0,0.148,30,46.0,0,0.436,76.0
0,1,0.256,1,0,0.108,0,0.0,1,0.636,0.0
1,1,0.769,0,1,0.12,0,0.0,0,0.614,0.0
1,1,0.321,0,1,0.02,3,4.0,0,0.632,7.0
0,0,0.372,1,1,0.061,0,0.0,0,0.325,0.0
0,1,0.474,1,0,0.026,66,57.0,1,0.786,123.0
1,1,0.808,0,1,0.363,0,0.0,0,0.654,0.0
1,1,0.615,0,1,0.124,0,3.0,0,0.746,3.0
0,1,0.756,1,1,0.075,9,6.0,1,0.55,15.0
1,1,0.154,1,0,0.547,0,0.0,1,0.686,0.0
1,1,0.59,0,2,0.188,6,0.0,0,0.671,6.0
0,1,0.192,1,0,0.329,0,0.0,0,0.429,0.0
1,1,0.795,0,1,0.17,14,0.0,0,0.632,14.0
1,1,0.449,1,0,0.377,49,47.0,1,0.921,96.0
1,1,0.436,1,0,0.189,44,40.0,1,0.671,84.0
1,1,0.59,0,0,0.245,3,0.0,0,0.568,3.0
0,1,0.359,1,0,0.204,0,0.0,0,0.511,0.0
1,1,0.603,0,0,0.025,0,0.0,0,0.657,0.0
0,1,0.474,1,0,0.068,5,24.0,1,0.679,29.0
1,0,0.244,1,2,0.178,0,0.0,0,0.454,0.0
1,1,0.474,0,1,0.1,0,0.0,0,0.711,0.0
1,0,0.218,1,1,0.23,28,27.0,0,0.786,55.0
1,1,0.603,0,1,0.195,0,0.0,0,0.811,0.0
0,1,0.449,1,2,0.092,0,0.0,0,0.4,0.0
0,0,0.372,1,1,0.133,0,0.0,0,0.304,0.0
1,1,0.692,1,0,0.314,24,20.0,1,0.55,44.0
1,1,0.551,0,1,0.022,0,0.0,0,0.593,0.0
0,1,0.256,1,0,0.545,44,52.0,1,0.789,96.0
0,1,0.615,1,0,0.276,1,0.0,0,0.639,1.0
0,0,0.179,1,1,0.084,7,0.0,0,0.429,7.0
1,1,0.308,0,0,0.061,5,0.0,0,0.636,5.0
1,0,0.385,1,1,0.026,24,20.0,0,0.354,44.0
1,1,0.551,1,0,0.74,9,0.0,1,0.721,9.0
1,1,0.179,0,1,0.165,9,17.0,0,0.625,26.0
1,1,0.59,1,1,0.06,0,0.0,0,0.45,0.0
0,1,0.487,1,0,0.515,0,11.0,1,0.768,11.0
1,0,0.449,1,1,0.011,0,34.0,0,0.793,34.0
0,1,0.667,1,0,0.672,0,0.0,1,0.711,0.0
1,1,0.603,1,1,0.056,83,95.0,0,0.504,178.0
1,1,0.5,1,0,0.178,5,0.0,1,0.593,5.0
1,1,0.577,0,2,0.076,0,0.0,0,0.536,0.0
1,1,0.397,0,1,0.074,0,0.0,0,0.786,0.0
0,1,0.359,1,0,0.48,0,0.0,1,0.632,0.0
1,1,0.436,0,1,0.104,0,0.0,0,0.543,0.0
1,0,0.423,1,0,0.482,0,0.0,0,0.589,0.0
1,0,0.372,1,1,0.208,13,0.0,0,0.511,13.0
0,1,0.769,0,1,0.175,0,0.0,0,0.575,0.0
1,1,0.397,0,1,0.053,5,0.0,1,0.789,5.0
1,1,0.551,0,1,0.213,0,0.0,0,0.811,0.0
0,1,0.551,1,0,0.494,0,0.0,1,0.679,0.0
0,1,0.603,1,0,0.507,62,66.0,1,0.789,128.0
0,1,0.628,1,0,0.51,117,113.0,1,0.796,230.0
0,1,0.397,0,1,0.042,0,2.0,0,0.579,2.0
1,1,0.0,0,1,0.22,16,13.0,0,0.65,29.0
1,1,0.321,1,0,0.533,2,0.0,1,0.868,2.0
0,1,0.487,1,1,0.329,0,7.0,0,0.582,7.0
0,0,0.231,1,1,0.258,0,24.0,0,0.496,24.0
1,1,0.487,1,0,0.473,0,0.0,1,0.893,0.0
0,1,0.346,0,1,0.036,0,0.0,0,0.361,0.0
0,1,0.167,0,2,0.055,5,2.0,0,0.529,7.0
1,0,0.372,1,1,0.044,16,6.0,0,0.314,22.0
0,0,0.372,1,1,0.062,0,0.0,0,0.521,0.0
0,1,0.256,1,0,0.64,0,0.0,1,0.579,0.0
0,1,0.423,0,1,0.27,0,0.0,0,0.589,0.0
0,1,0.308,1,0,0.397,0,4.0,1,0.857,4.0
0,1,0.231,1,2,0.131,0,0.0,1,0.386,0.0
0,1,0.449,1,0,0.102,0,0.0,1,0.679,0.0
1,1,0.487,1,1,0.052,29,40.0,1,0.579,69.0
0,1,0.667,0,0,0.123,0,11.0,0,0.468,11.0
0,1,0.346,0,1,0.034,3,8.0,0,0.543,11.0
1,1,0.192,0,1,0.037,0,17.0,0,0.532,17.0
0,1,0.179,0,1,0.215,0,0.0,0,0.457,0.0
0,1,0.244,1,0,0.333,27,10.0,0,0.436,37.0
0,1,0.385,1,0,0.479,94,86.0,1,0.571,180.0
0,1,0.397,1,0,0.548,0,0.0,1,0.575,0.0
1,1,0.128,0,1,0.012,0,0.0,0,0.75,0.0
0,1,0.103,0,2,0.033,5,8.0,0,0.807,13.0
1,1,0.59,0,1,0.075,0,0.0,0,0.707,0.0
0,0,0.41,1,0,0.104,93,88.0,0,0.664,181.0
0,1,0.423,1,0,0.478,0,0.0,1,0.804,0.0
1,0,0.269,1,2,0.115,0,46.0,0,0.539,46.0
1,0,0.256,1,0,0.467,10,0.0,0,0.607,10.0
1,1,0.436,1,0,0.609,0,0.0,1,0.879,0.0
1,1,0.0,0,1,0.098,0,0.0,0,0.793,0.0
0,0,0.526,1,0,0.147,2,1.0,0,0.575,3.0
0,1,0.077,1,1,0.276,0,0.0,0,0.404,0.0
1,1,0.526,1,0,0.093,0,0.0,1,0.721,0.0
1,1,0.538,0,1,0.021,8,3.0,0,0.639,11.0
0,0,0.244,1,0,0.175,5,0.0,1,0.679,5.0
0,1,0.192,1,0,0.73,0,0.0,1,0.546,0.0
1,1,0.59,1,0,0.755,180,178.0,0,0.411,358.0
1,1,0.462,1,1,0.107,0,0.0,1,0.836,0.0
0,1,0.628,1,0,0.626,0,0.0,1,0.621,0.0
1,1,0.795,0,1,0.121,0,0.0,0,0.682,0.0
0,1,0.667,0,1,0.065,0,0.0,1,0.525,0.0
1,1,0.628,1,0,0.234,9,0.0,1,0.686,9.0
0,1,0.051,0,1,0.107,0,0.0,1,0.736,0.0
1,1,0.231,1,1,0.372,86,78.0,1,0.639,164.0
1,0,0.282,1,1,0.026,0,0.0,1,0.425,0.0
1,1,0.526,1,1,0.013,0,0.0,1,0.621,0.0
1,1,0.449,1,0,0.047,0,0.0,1,0.511,0.0
0,0,0.103,1,1,0.084,0,0.0,0,0.554,0.0
1,0,0.538,1,0,0.28,0,0.0,0,0.607,0.0
0,1,0.436,1,0,0.476,29,18.0,1,0.725,47.0
0,1,0.462,1,0,0.333,0,0.0,1,0.468,0.0
0,1,0.679,1,0,0.392,0,0.0,1,0.886,0.0
1,1,0.449,0,1,0.062,0,0.0,1,0.518,0.0
1,1,0.013,0,1,0.045,0,0.0,0,0.654,0.0
1,1,0.449,1,1,0.037,82,72.0,1,0.836,154.0
0,0,0.141,1,2,0.063,32,41.0,0,0.396,73.0
0,1,0.513,1,0,0.712,0,0.0,1,0.704,0.0
1,0,0.256,1,1,0.032,16,12.0,0,0.707,28.0
1,1,0.769,0,2,0.134,100,91.0,0,0.346,191.0
0,0,0.397,1,0,0.123,0,0.0,1,0.729,0.0
1,0,0.167,1,1,0.089,0,0.0,0,0.743,0.0
1,1,0.679,1,0,0.766,1,0.0,1,0.679,1.0
0,0,0.205,1,0,0.051,9,1.0,1,0.718,10.0
0,0,0.231,1,0,0.104,0,0.0,0,0.571,0.0
1,1,0.397,1,0,0.59,0,0.0,1,0.711,0.0
1,1,0.423,1,0,0.56,0,4.0,1,0.671,4.0
0,1,0.154,0,1,0.112,0,0.0,0,0.596,0.0
1,1,0.692,1,0,0.412,6,0.0,1,0.754,6.0
0,1,0.474,0,1,0.246,25,6.0,0,0.754,31.0
1,1,0.192,0,1,0.051,34,35.0,0,0.671,69.0
1,0,0.013,1,1,0.185,2,0.0,0,0.514,2.0
1,1,0.487,1,0,0.791,25,16.0,0,0.668,41.0
0,1,0.5,0,1,0.174,40,25.0,1,0.471,65.0
1,1,0.603,1,0,0.324,90,77.0,0,0.586,167.0
0,1,0.705,0,1,0.112,0,0.0,0,0.3,0.0
1,1,0.231,1,0,0.505,0,0.0,1,0.564,0.0
1,1,0.321,0,1,0.123,0,0.0,0,0.618,0.0
1,1,0.744,0,1,0.111,1,3.0,0,0.582,4.0
0,0,0.423,1,0,0.039,0,0.0,0,0.546,0.0
1,1,0.295,1,2,0.06,0,0.0,1,0.407,0.0
1,1,0.769,0,1,0.115,0,0.0,0,0.404,0.0
0,1,0.564,1,0,0.413,0,0.0,1,0.893,0.0
