Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Satisfaction Score
1,0,0,1,2,0.0753231017770597,2,2,2,4,3,2,3,3,4,4,4,3,4,3,0.0,0.0,0,3.071428571428572
0,1,2,1,0,0.3222940226171243,1,1,1,1,2,4,5,4,4,4,5,5,4,2,0.0,0.0,1,3.071428571428572
0,1,2,1,1,0.1981017770597738,3,5,5,5,3,3,3,3,3,5,3,2,4,3,0.000886524822695,0.000896860986547,0,3.571428571428572
0,1,2,1,0,0.7984652665589661,3,3,3,3,5,4,5,4,4,5,4,4,4,4,0.000886524822695,0.0,1,3.928571428571429
0,1,1,0,1,0.2092084006462035,3,4,2,2,3,2,3,3,4,2,4,3,4,3,0.0,0.0,0,3.0
1,1,2,0,1,0.1587237479806139,2,2,2,4,5,4,4,2,2,2,2,3,2,1,0.00177304964539,0.0,0,2.642857142857143
0,1,2,1,1,0.1793214862681744,1,2,3,2,1,1,1,1,2,3,4,3,3,1,0.0576241134751773,0.052914798206278,0,2.0
0,1,2,1,0,0.4800080775444265,2,2,2,2,3,2,2,5,5,4,5,3,5,5,0.0,0.0,1,3.357142857142857
1,1,2,1,2,0.3008885298869144,4,2,2,2,1,4,4,4,4,4,4,4,4,1,0.0,0.0044843049327354,1,3.142857142857143
1,1,0,1,1,0.1825525040387722,3,2,2,2,3,2,3,3,1,3,4,4,4,3,0.0301418439716312,0.0260089686098654,0,2.7857142857142856
0,0,0,1,1,0.2461631663974152,3,3,3,4,2,3,2,2,4,3,4,4,3,2,0.0,0.0,0,3.0
0,1,2,0,1,0.032108239095315,4,4,0,4,5,0,5,5,2,2,3,4,4,5,0.0,0.0,0,3.357142857142857
0,0,1,1,1,0.0882471728594507,3,4,3,1,5,3,1,5,3,3,3,1,2,5,0.0,0.0,0,3.0
0,1,2,1,2,0.0553311793214862,5,4,4,4,5,5,5,5,2,5,4,3,4,5,0.00177304964539,0.0,1,4.285714285714286
1,1,2,1,0,0.5462439418416802,2,2,2,2,5,5,4,5,5,5,5,3,5,3,0.0,0.0017937219730941,1,3.7857142857142856
1,1,1,0,1,0.132875605815832,1,4,1,2,1,1,1,1,4,4,5,3,4,1,0.0,0.000896860986547,0,2.357142857142857
0,1,2,1,0,0.5957189014539581,1,3,3,3,3,3,4,1,1,1,1,1,1,3,0.0044326241134751,0.000896860986547,0,2.071428571428572
0,1,1,1,0,0.4717285945072698,1,1,1,1,3,5,5,5,5,5,5,3,5,5,0.0,0.0098654708520179,1,3.571428571428572
1,1,1,0,1,0.1538772213247173,3,4,3,3,2,3,2,2,4,3,4,3,5,2,0.0904255319148936,0.095067264573991,0,3.071428571428572
1,1,2,1,0,0.0682552504038772,2,1,2,2,5,5,5,2,2,2,2,4,2,4,0.0,0.0,1,2.857142857142857
0,1,1,1,0,0.0119143780290791,2,2,2,2,3,5,4,5,5,5,4,4,5,5,0.0,0.0,1,3.7857142857142856
1,1,2,1,2,0.0207996768982229,3,3,3,3,4,2,3,3,3,3,3,3,3,2,0.0115248226950354,0.0062780269058295,0,2.9285714285714284
0,1,2,0,2,0.0141357027463651,2,3,0,4,3,0,3,3,4,1,4,3,4,3,0.0,0.0,0,2.642857142857143
1,1,1,1,0,0.4787964458804523,2,2,2,2,4,4,4,4,3,3,5,5,4,4,0.0,0.0026905829596412,1,3.4285714285714284
1,1,1,1,1,0.0159531502423263,2,1,1,1,2,2,2,2,3,5,4,4,3,2,0.0053191489361702,0.0116591928251121,0,2.4285714285714284
1,1,2,0,1,0.2722132471728594,3,3,3,5,5,5,3,4,4,3,4,1,4,5,0.026595744680851,0.0242152466367713,0,3.7142857142857135
1,1,1,0,1,0.1163166397415185,2,5,3,3,4,3,4,4,5,3,5,5,4,4,0.0,0.0,0,3.857142857142857
0,1,2,1,1,0.0834006462035541,2,5,2,5,2,2,2,2,2,2,3,1,4,2,0.0,0.0,0,2.571428571428572
0,1,1,1,0,0.3966074313408724,2,5,5,5,2,2,2,2,3,3,3,3,3,2,0.0434397163120567,0.0403587443946188,0,3.0
0,1,3,0,0,0.4244749596122779,3,5,3,4,3,5,3,4,4,3,1,4,4,3,0.0203900709219858,0.0233183856502242,0,3.5
0,1,1,0,1,0.0418012924071082,2,4,2,2,5,2,5,5,3,5,5,5,5,5,0.0,0.0134529147982062,0,3.928571428571429
1,1,2,1,1,0.1560985460420032,2,2,2,2,2,3,4,2,2,2,2,4,2,3,0.0,0.0,0,2.4285714285714284
1,1,2,1,2,0.0977382875605815,4,4,3,4,1,1,3,4,4,4,4,4,4,5,0.0,0.0,1,3.5
0,1,2,1,0,0.3216882067851373,4,4,4,4,4,5,5,5,5,5,5,5,5,3,0.0,0.0,1,4.5
0,1,0,1,0,0.5963247172859452,3,4,5,4,3,3,3,3,1,3,4,3,3,3,0.0,0.0,0,3.2142857142857144
0,1,2,1,0,0.6474151857835219,1,1,1,1,5,5,5,5,5,5,5,3,5,4,0.0097517730496453,0.0116591928251121,1,3.642857142857143
0,1,1,1,0,0.6657915993537965,5,5,5,5,4,4,4,4,4,2,5,5,5,4,0.0,0.0,1,4.357142857142857
1,1,2,0,1,0.0072697899838449,3,5,3,4,3,4,4,4,4,3,4,4,4,3,0.0,0.0,0,3.7142857142857135
0,1,2,0,2,0.133481421647819,2,1,2,4,1,2,1,1,1,2,3,3,3,1,0.0,0.0,0,1.9285714285714288
0,1,1,0,1,0.1231825525040387,2,3,2,3,1,2,1,1,3,4,2,4,2,1,0.0,0.0,0,2.2142857142857144
0,1,3,0,1,0.2853392568659127,3,0,3,1,2,3,2,2,3,5,4,5,4,2,0.0203900709219858,0.0233183856502242,0,2.7857142857142856
0,0,2,1,0,0.1611470113085622,3,3,3,2,4,3,4,4,5,3,5,5,5,4,0.0,0.0,0,3.7857142857142856
0,1,2,0,1,0.0617932148626817,2,3,2,4,3,2,3,3,5,4,5,1,2,3,0.0,0.0,0,3.0
1,1,3,1,0,0.4497172859450727,3,3,3,3,3,5,5,4,4,4,4,3,4,2,0.0,0.0,1,3.571428571428572
0,1,0,0,1,0.0743134087237479,2,4,2,2,3,2,3,3,5,2,4,3,5,3,0.0088652482269503,0.0188340807174887,0,3.071428571428572
1,1,1,0,1,0.079967689822294,2,3,2,4,2,2,2,2,1,2,4,2,4,2,0.0,0.0,0,2.4285714285714284
0,1,3,0,1,0.2459612277867528,1,4,1,3,3,1,3,3,5,3,4,4,5,3,0.0088652482269503,0.0026905829596412,0,3.071428571428572
1,1,1,1,0,0.5510904684975768,4,4,4,4,2,4,5,3,3,2,3,5,3,5,0.0,0.0,1,3.642857142857143
0,1,2,1,0,0.4277059773828756,5,5,5,5,3,4,4,5,5,5,5,3,5,3,0.0,0.0,1,4.428571428571429
1,0,1,1,0,0.2394991922455573,3,4,4,2,2,4,5,2,5,4,5,5,5,2,0.0,0.0,0,3.7142857142857135
1,0,1,1,0,0.0888529886914378,3,3,3,1,4,3,4,4,5,2,4,4,4,4,0.000886524822695,0.0,0,3.4285714285714284
0,1,2,0,1,0.1966882067851373,3,5,3,5,1,3,1,1,4,4,5,4,5,1,0.0345744680851063,0.0269058295964125,0,3.2142857142857144
1,1,2,1,1,0.079967689822294,5,5,3,3,5,3,5,5,5,5,5,3,5,2,0.000886524822695,0.0,1,4.214285714285714
0,1,2,1,0,0.3812600969305331,2,2,2,2,3,4,5,3,3,4,3,4,3,5,0.0,0.000896860986547,1,3.2142857142857144
0,1,1,1,0,0.3186591276252019,3,3,3,3,5,5,5,5,3,4,5,5,4,5,0.0,0.0,1,4.142857142857143
1,1,1,0,1,0.1231825525040387,1,5,1,2,5,1,5,5,4,4,4,4,5,5,0.0,0.010762331838565,0,3.642857142857143
0,1,2,1,0,0.2944264943457189,2,2,2,2,2,5,4,5,5,5,5,5,5,4,0.0,0.0,1,3.7857142857142856
1,1,2,0,1,0.1136914378029079,2,4,1,1,1,1,1,2,2,1,2,2,2,4,0.0150709219858156,0.0116591928251121,0,1.8571428571428568
0,1,2,1,1,0.0817851373182552,3,5,5,5,3,3,3,3,4,1,4,1,4,3,0.0,0.0,0,3.357142857142857
1,1,2,1,0,0.7681744749596123,2,1,1,1,2,3,4,1,1,1,2,3,1,4,0.0132978723404255,0.0412556053811659,0,1.9285714285714288
0,1,2,1,0,0.4210420032310177,1,1,1,1,2,4,5,5,5,5,5,4,5,1,0.0,0.0,1,3.2142857142857144
1,1,1,1,0,0.3455169628432956,2,2,2,2,5,5,5,5,5,5,5,5,5,3,0.0,0.0,1,4.0
0,1,1,1,0,0.0834006462035541,4,3,4,4,5,5,4,3,3,4,3,5,3,4,0.0,0.0,1,3.857142857142857
1,1,0,0,0,0.1157108239095315,3,5,2,4,1,2,1,1,4,3,4,5,4,1,0.0,0.0,0,2.857142857142857
0,1,0,1,2,0.1136914378029079,2,3,3,3,2,2,1,2,4,1,3,2,3,2,0.0026595744680851,0.0071748878923766,0,2.357142857142857
0,1,2,1,0,0.3527867528271405,5,5,5,5,5,4,4,5,5,5,5,3,5,4,0.0,0.0,1,4.642857142857143
1,1,2,0,1,0.2257673667205169,3,5,3,2,2,4,5,1,1,3,1,5,1,3,0.0141843971631205,0.0080717488789237,0,2.7857142857142856
0,1,1,1,0,0.2893780290791599,4,4,4,4,5,5,5,5,5,5,4,3,5,5,0.0,0.0,1,4.5
0,0,1,1,1,0.260702746365105,4,4,4,3,1,4,1,1,3,4,3,3,4,1,0.0301418439716312,0.0340807174887892,1,2.857142857142857
1,1,1,0,1,0.0682552504038772,3,1,3,2,3,3,3,3,2,3,3,1,2,3,0.0,0.0,0,2.5
0,1,1,1,0,0.4794022617124394,1,1,1,1,5,1,3,5,5,5,5,3,5,3,0.0097517730496453,0.0062780269058295,1,3.142857142857143
0,1,1,1,0,0.2643376413570275,2,2,2,2,5,5,5,5,5,4,4,3,5,5,0.0540780141843971,0.042152466367713,1,3.857142857142857
1,0,1,1,1,0.1468093699515347,2,2,2,2,4,2,4,4,4,3,1,5,4,4,0.0,0.0,0,3.071428571428572
1,1,2,1,2,0.1074313408723748,4,2,2,2,5,3,3,4,4,4,4,3,4,1,0.0398936170212766,0.0358744394618834,1,3.2142857142857144
0,1,2,0,2,0.0409935379644588,3,4,3,1,5,3,3,5,3,3,4,5,5,5,0.0,0.0,0,3.7142857142857135
0,1,2,0,2,0.0583602584814216,4,4,4,4,4,4,4,4,5,2,1,2,5,4,0.0,0.0,0,3.642857142857143
0,1,2,1,0,0.0809773828756058,5,5,5,5,3,4,2,5,5,5,5,2,5,5,0.0691489361702127,0.0493273542600896,1,4.357142857142857
1,1,2,1,0,0.5819870759289176,2,2,2,2,3,2,5,3,3,4,3,4,3,2,0.0,0.0,1,2.857142857142857
0,0,1,1,1,0.0141357027463651,2,4,2,3,5,2,5,5,2,4,3,3,4,5,0.0,0.0035874439461883,0,3.5
1,1,2,1,0,0.1098546042003231,5,5,5,5,4,2,1,2,2,2,2,5,2,4,0.0,0.0,1,3.2857142857142856
1,1,3,0,2,0.188610662358643,1,4,1,1,5,5,4,2,2,1,2,3,2,5,0.0,0.0,0,2.7142857142857144
1,1,3,0,1,0.0803715670436187,2,5,2,2,4,5,5,5,5,2,5,3,5,4,0.0035460992907801,0.0035874439461883,0,3.857142857142857
0,1,1,0,1,0.1890145395799677,1,5,1,5,4,1,5,4,5,2,4,4,5,4,0.0044326241134751,0.0098654708520179,0,3.571428571428572
1,1,2,1,1,0.1768982229402262,1,0,0,4,4,4,3,5,5,1,5,4,5,3,0.0106382978723404,0.0089686098654708,0,3.142857142857143
1,1,2,1,1,0.0757269789983845,3,4,4,4,5,4,4,4,4,3,4,3,4,3,0.0132978723404255,0.0,0,3.7857142857142856
0,1,1,0,1,0.0928917609046849,3,2,3,2,3,3,3,1,5,2,2,3,1,3,0.1604609929078014,0.1802690582959641,0,2.571428571428572
0,1,2,1,1,0.282108239095315,4,2,2,2,4,4,4,4,4,3,1,4,4,4,0.0,0.0,1,3.2857142857142856
0,1,1,1,0,0.3283521809369951,4,4,3,4,3,5,3,3,1,2,3,2,3,3,0.0,0.0,1,3.071428571428572
0,1,2,0,1,0.4935379644588045,2,3,2,2,1,2,1,1,4,3,4,1,3,1,0.0,0.0,0,2.142857142857143
1,1,1,0,1,0.1078352180936995,2,5,2,2,4,2,4,4,3,4,4,4,5,4,0.0434397163120567,0.0403587443946188,0,3.5
0,1,0,0,1,0.0141357027463651,3,4,0,2,5,0,1,5,3,5,5,2,4,5,0.0,0.0,0,3.142857142857143
1,1,2,0,1,0.1122778675282714,1,1,2,4,4,4,3,2,2,2,2,1,2,2,0.00177304964539,0.0,0,2.2857142857142856
1,1,3,1,1,0.3665185783521809,2,1,1,1,1,3,3,2,2,2,2,4,2,4,0.000886524822695,0.0062780269058295,0,2.142857142857143
1,1,1,1,0,0.7542407108239096,0,4,0,1,3,5,5,1,1,1,1,3,1,5,0.0709219858156028,0.0717488789237668,1,2.2142857142857144
0,1,0,0,1,0.2350565428109854,4,4,4,3,2,4,2,2,3,2,5,5,5,2,0.0026595744680851,0.0,0,3.357142857142857
1,1,2,1,0,0.6023828756058159,2,2,4,2,5,5,3,4,4,5,4,4,4,4,0.0,0.0,1,3.7142857142857135
0,1,1,1,0,0.4188206785137318,2,5,2,2,4,4,4,5,5,5,5,4,5,5,0.027482269503546,0.010762331838565,1,4.071428571428571
0,0,0,1,1,0.1625605815831987,2,2,2,4,3,2,3,3,3,4,4,3,4,3,0.0,0.0,0,3.0
1,1,2,0,1,0.0668416801292407,3,5,3,5,3,4,4,2,2,3,2,4,2,5,0.0,0.0,0,3.357142857142857
1,1,3,0,1,0.0317043618739903,1,3,1,2,1,3,3,5,5,1,5,3,5,2,0.0,0.0,0,2.857142857142857
0,1,2,1,1,0.0648222940226171,5,1,1,1,5,5,5,5,1,1,1,3,2,5,0.0230496453900709,0.0,1,2.9285714285714284
1,1,3,1,0,0.6819466882067852,3,3,3,3,4,5,4,5,5,5,5,5,5,5,0.0053191489361702,0.0,1,4.285714285714286
0,1,2,1,0,0.6227786752827141,0,3,0,1,1,5,5,3,3,3,3,1,3,5,0.0,0.0,1,2.571428571428572
1,1,1,1,0,0.3459208400646203,1,2,2,2,2,3,4,1,1,1,1,2,1,3,0.0,0.0,0,1.8571428571428568
0,0,1,1,0,0.1805331179321486,3,3,3,2,2,3,2,2,2,5,2,2,3,2,0.0,0.0080717488789237,0,2.571428571428572
0,1,3,0,1,0.1114701130856219,3,2,3,3,5,3,5,5,4,3,4,1,3,5,0.0062056737588652,0.0026905829596412,0,3.5
0,1,2,1,0,0.4402261712439418,2,2,2,2,4,4,5,5,5,4,5,5,5,5,0.0,0.0,1,3.928571428571429
1,1,2,1,1,0.1029886914378029,5,1,1,1,3,3,4,5,5,5,5,4,5,2,0.0062056737588652,0.0,1,3.5
1,1,1,0,2,0.1050080775444265,2,3,2,4,1,2,1,1,1,2,4,1,4,1,0.027482269503546,0.0251121076233183,0,2.071428571428572
1,1,1,1,1,0.0268578352180937,3,3,3,3,3,3,3,3,4,4,3,3,4,3,0.0079787234042553,0.0071748878923766,0,3.2142857142857144
0,1,2,1,0,0.1033925686591276,3,3,5,3,4,4,3,3,3,3,3,1,3,2,0.0709219858156028,0.063677130044843,0,3.071428571428572
1,0,1,1,0,0.1859854604200323,4,2,4,1,4,4,4,4,4,5,4,3,5,4,0.0,0.0,1,3.7142857142857135
0,1,3,1,0,0.4555735056542811,0,0,0,2,2,5,4,2,2,2,2,3,2,4,0.0,0.0017937219730941,1,2.142857142857143
1,0,1,1,1,0.101373182552504,1,2,1,4,5,1,4,5,1,3,4,3,3,5,0.0390070921985815,0.032286995515695,0,3.0
1,0,1,1,1,0.1124798061389337,3,1,2,3,5,2,3,5,4,3,2,3,3,5,0.0,0.0,0,3.142857142857143
0,1,2,1,0,0.3848949919224556,1,1,4,1,4,5,4,4,4,4,4,4,4,5,0.000886524822695,0.010762331838565,1,3.5
0,1,1,1,0,0.7441437802907916,2,1,2,2,4,4,4,4,3,4,4,4,4,4,0.0115248226950354,0.0035874439461883,1,3.2857142857142856
1,0,1,1,1,0.0117124394184168,3,3,3,4,2,3,5,2,3,1,4,1,4,2,0.0,0.0,0,2.857142857142857
0,1,1,1,0,0.467891760904685,5,5,5,5,3,5,2,2,2,2,2,1,2,1,0.0035460992907801,0.0062780269058295,1,3.0
1,1,1,1,0,0.1884087237479806,3,3,3,3,2,4,4,5,5,5,5,4,5,3,0.0,0.0,1,3.857142857142857
1,1,2,1,0,0.132875605815832,2,2,2,2,2,2,2,2,4,2,3,2,3,2,0.1223404255319148,0.1147982062780269,0,2.2857142857142856
0,1,1,1,0,0.1526655896607431,3,3,3,3,5,5,5,5,3,4,5,4,5,5,0.051418439716312,0.0448430493273542,1,4.142857142857143
1,0,1,1,0,0.276453957996769,4,4,4,1,3,4,3,3,4,3,4,3,4,3,0.0336879432624113,0.0278026905829596,1,3.357142857142857
0,1,1,1,0,0.3119951534733441,4,4,4,4,2,4,5,5,5,5,5,3,5,5,0.0,0.0,1,4.285714285714286
0,1,1,1,0,0.0452342487883683,3,1,3,3,5,5,5,5,5,5,5,4,5,4,0.0,0.0,1,4.142857142857143
